==12716== NVPROF is profiling process 12716, command: .\runnable.exe
==12716== Profiling application: .\runnable.exe
==12716== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
ms,ms,,,,,,,,B,KB,KB,GB/s,,,,,,,
807.985516,0.024256,3,4,1,32,32,1,32,0,8.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","matrix_transpose_product_shared(float*, float*, float*, int, int, int, int)",196
807.987900,0.017600,,,,,,,,,,,,,,,,,"cudaLaunchKernel",197
808.006200,0.017600,,,,,,,,,,,,,,,,,"cudaLaunchKernel",198
808.012460,0.001152,1,4,1,1,32,1,9,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","matrix_dot_product(float*, float*, float*, int, int, int)",197
808.022220,0.001152,1,4,1,1,32,1,9,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","scalar_subtraction(float*, float*, int, int, int)",198
808.024500,0.024900,,,,,,,,,,,,,,,,,"cudaLaunchKernel",199
808.047692,0.001183,1,4,1,1,32,1,9,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","matrix_dot_product(float*, float*, float*, int, int, int)",199
808.050600,0.022200,,,,,,,,,,,,,,,,,"cudaLaunchKernel",200
808.070507,0.023712,1,16,3,25,1,40,27,0,0.253906,,,,,"NVIDIA GeForce MX250 (0)","1","7","convolution_forNOutChannels_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int, int)",200
808.074100,0.751900,,,,,,,,,,,,,,,,,"cudaLaunchKernel",201
808.820288,0.040032,1,1,2,5,5,10,40,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","full_Convolution(float*, float*, float*, int, int, int, int, int, int, int, int, int, int, int)",201
808.833000,0.021400,,,,,,,,,,,,,,,,,"cudaLaunchKernel",202
808.855600,0.018300,,,,,,,,,,,,,,,,,"cudaLaunchKernel",203
808.862944,0.001536,1,1,1,5,5,16,9,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","matrix_dot_product(float*, float*, float*, int, int, int)",202
808.871488,0.001312,1,1,1,5,5,16,9,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","scalar_subtraction(float*, float*, int, int, int)",203
808.874700,0.017800,,,,,,,,,,,,,,,,,"cudaLaunchKernel",204
808.890271,0.001248,1,1,1,5,5,16,9,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","matrix_dot_product(float*, float*, float*, int, int, int)",204
808.893600,0.026800,,,,,,,,,,,,,,,,,"cudaLaunchKernel",205
808.917439,0.005248,1,1,1,5,5,16,32,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",205
808.921400,0.017900,,,,,,,,,,,,,,,,,"cudaLaunchKernel",206
808.938143,0.001280,1,1,2,10,10,10,9,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","matrix_dot_product(float*, float*, float*, int, int, int)",206
808.940100,0.024000,,,,,,,,,,,,,,,,,"cudaLaunchKernel",207
808.962014,0.001280,1,1,2,10,10,10,9,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","scalar_subtraction(float*, float*, int, int, int)",207
808.964800,0.018200,,,,,,,,,,,,,,,,,"cudaLaunchKernel",208
808.980894,0.001248,1,1,2,10,10,10,9,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","matrix_dot_product(float*, float*, float*, int, int, int)",208
808.984100,0.031900,,,,,,,,,,,,,,,,,"cudaLaunchKernel",209
809.013278,0.208124,2,2,1,10,10,6,40,0,0.000000,,,,,"NVIDIA GeForce MX250 (0)","1","7","full_Convolution(float*, float*, float*, int, int, int, int, int, int, int, int, int, int, int)",209
809.017000,0.020300,,,,,,,,,,,,,,,,,"cudaLaunchKernel",210
